,interaction_graph,Run,price,k,price_history,date,external_var,prob_type,alpha,p_f,cash_low,cash_high,stocks_low,stocks_high,debug
0,Graph with 50 nodes and 394 edges,0,"[34.05500030517578, 31.997499465942383, 34.04750061035156, 35.849998474121094, 34.95750045776367, 35.64500045776367, 36.307498931884766, 37.20750045776367, 37.61000061035156, 37.46749877929688, 37.209999084472656, 37.93000030517578, 39.23249816894531, 37.192501068115234, 37.3224983215332, 39.459999084472656, 40.03749847412109, 34.502498626708984, 32.900001525878906, 34.34749984741211, 35.9375, 36.182498931884766, 37.29499816894531, 37.48749923706055, 38.25, 36.85499954223633, 37.04249954223633, 36.61249923706055, 37.79249954223633, 38.220001220703125, 38.63249969482422, 39.334999084472656, 39.15999984741211, 39.63750076293945, 38.942501068115234, 39.79750061035156, 39.67250061035156, 39.275001525878906, 38.852500915527344, 38.56499862670898, 39.11249923706055, 39.19499969482422, 39.130001068115234, 38.01250076293945, 37.31499862670898, 37.65999984741211, 40.28499984741211, 40.630001068115234, 42.15499877929688, 41.38999938964844, 42.45249938964844, 42.23749923706055, 43.9275016784668, 43.59999847412109, 45.98500061035156, 44.375, 43.44499969482422, 44.21749877929688, 44.125, 44.3125, 44.88999938964844, 45.56999969482422, 45.75, 47.15499877929688, 47.06499862670898, 47.73749923706055, 47.9474983215332, 47.31499862670898, 48.025001525878906, 47.8849983215332, 47.50249862670898, 46.17499923706055, 47.0525016784668, 46.8224983215332, 46.57500076293945, 47.11750030517578, 47.66749954223633, 47.79249954223633, 46.727500915527344, 44.522499084472656, 44.83250045776367, 45.25, 45.11750030517578, 45.79750061035156, 45.75249862670898, 44.962501525878906, 43.27750015258789, 43.47999954223633, 42.54750061035156, 42.20500183105469, 39.61249923706055, 40.5099983215332, 39.89500045776367, 40.04750061035156, 39.13249969482422, 37.9375, 38.76499938964844, 38.04999923706055, 36.83000183105469, 36.28749847412109, 35.83250045776367, 35.084999084472656, 34.77750015258789, 33.8650016784668, 33.44499969482422, 35.75, 35.31999969482422, 35.94499969482422, 36.375, 37.10749816894531, 37.6875, 36.54999923706055, 37.06499862670898, 36.15999984741211, 36.25749969482422, 38.220001220703125, 38.27999877929688, 38.525001525878906, 37.93999862670898, 38.165000915527344, 37.869998931884766, 39.81499862670898, 40.807498931884766, 41.057498931884766, 41.54249954223633, 40.557498931884766, 40.6875, 40.057498931884766, 39.3025016784668, 39.32749938964844, 40.01499938964844, 41.56999969482422, 41.90250015258789, 41.817501068115234, 41.77000045776367, 42.4275016784668, 42.54499816894531, 42.11000061035156, 42.83000183105469, 43.915000915527344, 44.665000915527344, 43.345001220703125, 43.76750183105469, 43.70500183105469, 43.86249923706055, 42.18000030517578, 41.22999954223633, 40.29750061035156, 37.6974983215332, 38.087501525878906, 38.47249984741211, 39.56499862670898, 38.54499816894531, 37.86249923706055, 39.01250076293945, 37.51750183105469, 37.192501068115234, 39.88999938964844, 42.69499969482422, 41.96749877929688, 42.807498931884766, 42.869998931884766, 40.61000061035156, 41.36249923706055, 40.45000076293945, 40.30500030517578, 41.75, 41.87749862670898, 41.04249954223633, 42.18999862670898, 44.935001373291016, 44.66249847412109, 45.125, 45.79499816894531, 46.08250045776367, 46.067501068115234, 45.48500061035156, 45.0525016784668, 45.26750183105469, 44.994998931884766, 44.23500061035156, 43.17250061035156, 43.709999084472656, 43.13249969482422, 44.557498931884766, 44.334999084472656, 42.93999862670898, 43.51750183105469, 43.5, 43.2599983215332, 45.32749938964844, 45.49250030517578, 46.08250045776367, 44.307498931884766, 45.1775016784668, 45.75749969482422, 46.497501373291016, 46.63249969482422, 49.09249877929688, 48.5525016784668, 48.5724983215332, 47.622501373291016, 49.00249862670898, 48.90250015258789, 48.772499084472656, 49.21500015258789, 51.1349983215332, 51.6974983215332, 50.72999954223633, 50.75, 50.255001068115234, 50.647499084472656, 52.625, 52.40250015258789, 51.907501220703125, 52.084999084472656, 51.94499969482422, 52.04499816894531, 52.40250015258789, 52.14250183105469, 52.4474983215332, 51.04750061035156, 53.06999969482422, 51.997501373291016, 52.79499816894531, 52.54499816894531, 52.72249984741211, 55.3025016784668, 54.25, 54.560001373291016, 54.185001373291016, 52.3125, 51.915000915527344, 52.35499954223633, 52.185001373291016, 53.04249954223633, 53.04249954223633, 53.494998931884766, 54.334999084472656, 56.01750183105469, 55.997501373291016, 56.28749847412109, 57.0724983215332, 57.37749862670898, 58.8650016784668, 59.84249877929688, 59.70500183105469, 59.65499877929688, 59.79750061035156, 59.21749877929688, 58.08000183105469, 58.82500076293945, 59.977500915527344, 59.01750183105469, 59.26499938964844, 59.98249816894531, 60.095001220703125, 60.755001068115234, 61.08000183105469, 62.994998931884766, 61.81999969482422, 61.39250183105469, 62.23249816894531, 62.31999969482422, 61.98500061035156, 62.52750015258789, 63.21500015258789, 59.65023895054402, 58.11381206510567, 56.98755810106846, 54.954058905147846, 56.02255581045394, 56.02255581045394, 55.22961806051922, 50.2763207871889, 45.03481309046917, 47.73009530520365, 56.1937437847652, 56.01872890506824, 54.63177856323716, 52.962889463730555, 55.32887566429633, 55.55841390251347, 56.12703533689601, 52.150740350671185, 51.2919578743369, 50.759695472579246, 49.231262481299396, 47.84205351342322, 47.270019729453516, 47.136781054681904, 55.23454227581156, 63.393468465819105, 60.293017512857986, 59.86616694583562, 70.14430935853967, 67.18785326539034, 64.77438153761817, 71.44931043991078, 65.01318699028408, 60.515082345265895, 54.121503942180546, 52.259703124734614, 51.78746381482502, 54.83246053141702, 55.04830066993814, 52.63555381296985, 51.39536539374176, 44.14564096313741, 56.8340502086976, 46.985730074220584, 40.94611630979891, 39.87053980063391, 41.33887449694062, 36.28690217567419, 35.75433453044602, 35.852622893146126, 36.3304148594621, 43.980872804043024, 42.30056255664718, 33.13218362672242, 34.186575583209724, 32.29609527321094, 35.73509849062843, 35.73509849062843, 34.02288486938067, 28.158182026299595, 30.488833455775413, 31.22142484201579, 32.60827383609949, 32.65776298740779, 32.65776298740779, 40.61110386477853, 41.48475962127935, 42.50664491001002, 42.50664491001002, 41.87624344356321, 42.40112171027792, 42.40112171027792, 40.8165585784578, 39.83534487261311, 43.572775569878615, 45.997969153926675, 46.0614939655317, 53.7696790377835, 52.75676693941562, 54.022366933923585, 54.08617804262977, 55.29367137418505, 61.31710992822783, 58.02143921245463, 55.38836438709323, 56.51704276378162, 60.88861029870566, 60.13724016547504, 66.27319122892973, 68.02350359821584, 64.02621920208853, 67.3495294756827, 69.51154289492544, 65.57703234247862, 65.9930246351285, 62.915493947443295, 58.29325741235972, 60.05505834527243, 57.16268123035739, 56.15041138593482, 52.49386295273193, 49.56561111349507, 56.05641853468633, 52.23928993100047, 48.055481480626725, 42.36163357959298, 41.41953441151963, 34.691039105676765, 30.00533011548532]",0.09,"[34.05500030517578, 31.997499465942383, 34.04750061035156, 35.849998474121094, 34.95750045776367, 35.64500045776367, 36.307498931884766, 37.20750045776367, 37.61000061035156, 37.46749877929688, 37.209999084472656, 37.93000030517578, 39.23249816894531, 37.192501068115234, 37.3224983215332, 39.459999084472656, 40.03749847412109, 34.502498626708984, 32.900001525878906, 34.34749984741211, 35.9375, 36.182498931884766, 37.29499816894531, 37.48749923706055, 38.25, 36.85499954223633, 37.04249954223633, 36.61249923706055, 37.79249954223633, 38.220001220703125, 38.63249969482422, 39.334999084472656, 39.15999984741211, 39.63750076293945, 38.942501068115234, 39.79750061035156, 39.67250061035156, 39.275001525878906, 38.852500915527344, 38.56499862670898, 39.11249923706055, 39.19499969482422, 39.130001068115234, 38.01250076293945, 37.31499862670898, 37.65999984741211, 40.28499984741211, 40.630001068115234, 42.15499877929688, 41.38999938964844, 42.45249938964844, 42.23749923706055, 43.9275016784668, 43.59999847412109, 45.98500061035156, 44.375, 43.44499969482422, 44.21749877929688, 44.125, 44.3125, 44.88999938964844, 45.56999969482422, 45.75, 47.15499877929688, 47.06499862670898, 47.73749923706055, 47.9474983215332, 47.31499862670898, 48.025001525878906, 47.8849983215332, 47.50249862670898, 46.17499923706055, 47.0525016784668, 46.8224983215332, 46.57500076293945, 47.11750030517578, 47.66749954223633, 47.79249954223633, 46.727500915527344, 44.522499084472656, 44.83250045776367, 45.25, 45.11750030517578, 45.79750061035156, 45.75249862670898, 44.962501525878906, 43.27750015258789, 43.47999954223633, 42.54750061035156, 42.20500183105469, 39.61249923706055, 40.5099983215332, 39.89500045776367, 40.04750061035156, 39.13249969482422, 37.9375, 38.76499938964844, 38.04999923706055, 36.83000183105469, 36.28749847412109, 35.83250045776367, 35.084999084472656, 34.77750015258789, 33.8650016784668, 33.44499969482422, 35.75, 35.31999969482422, 35.94499969482422, 36.375, 37.10749816894531, 37.6875, 36.54999923706055, 37.06499862670898, 36.15999984741211, 36.25749969482422, 38.220001220703125, 38.27999877929688, 38.525001525878906, 37.93999862670898, 38.165000915527344, 37.869998931884766, 39.81499862670898, 40.807498931884766, 41.057498931884766, 41.54249954223633, 40.557498931884766, 40.6875, 40.057498931884766, 39.3025016784668, 39.32749938964844, 40.01499938964844, 41.56999969482422, 41.90250015258789, 41.817501068115234, 41.77000045776367, 42.4275016784668, 42.54499816894531, 42.11000061035156, 42.83000183105469, 43.915000915527344, 44.665000915527344, 43.345001220703125, 43.76750183105469, 43.70500183105469, 43.86249923706055, 42.18000030517578, 41.22999954223633, 40.29750061035156, 37.6974983215332, 38.087501525878906, 38.47249984741211, 39.56499862670898, 38.54499816894531, 37.86249923706055, 39.01250076293945, 37.51750183105469, 37.192501068115234, 39.88999938964844, 42.69499969482422, 41.96749877929688, 42.807498931884766, 42.869998931884766, 40.61000061035156, 41.36249923706055, 40.45000076293945, 40.30500030517578, 41.75, 41.87749862670898, 41.04249954223633, 42.18999862670898, 44.935001373291016, 44.66249847412109, 45.125, 45.79499816894531, 46.08250045776367, 46.067501068115234, 45.48500061035156, 45.0525016784668, 45.26750183105469, 44.994998931884766, 44.23500061035156, 43.17250061035156, 43.709999084472656, 43.13249969482422, 44.557498931884766, 44.334999084472656, 42.93999862670898, 43.51750183105469, 43.5, 43.2599983215332, 45.32749938964844, 45.49250030517578, 46.08250045776367, 44.307498931884766, 45.1775016784668, 45.75749969482422, 46.497501373291016, 46.63249969482422, 49.09249877929688, 48.5525016784668, 48.5724983215332, 47.622501373291016, 49.00249862670898, 48.90250015258789, 48.772499084472656, 49.21500015258789, 51.1349983215332, 51.6974983215332, 50.72999954223633, 50.75, 50.255001068115234, 50.647499084472656, 52.625, 52.40250015258789, 51.907501220703125, 52.084999084472656, 51.94499969482422, 52.04499816894531, 52.40250015258789, 52.14250183105469, 52.4474983215332, 51.04750061035156, 53.06999969482422, 51.997501373291016, 52.79499816894531, 52.54499816894531, 52.72249984741211, 55.3025016784668, 54.25, 54.560001373291016, 54.185001373291016, 52.3125, 51.915000915527344, 52.35499954223633, 52.185001373291016, 53.04249954223633, 53.04249954223633, 53.494998931884766, 54.334999084472656, 56.01750183105469, 55.997501373291016, 56.28749847412109, 57.0724983215332, 57.37749862670898, 58.8650016784668, 59.84249877929688, 59.70500183105469, 59.65499877929688, 59.79750061035156, 59.21749877929688, 58.08000183105469, 58.82500076293945, 59.977500915527344, 59.01750183105469, 59.26499938964844, 59.98249816894531, 60.095001220703125, 60.755001068115234, 61.08000183105469, 62.994998931884766, 61.81999969482422, 61.39250183105469, 62.23249816894531, 62.31999969482422, 61.98500061035156, 62.52750015258789, 63.21500015258789]",,"[ 0.00000000e+00  1.00000000e-01  0.00000000e+00  0.00000000e+00
  2.00000000e-01  1.66666667e-01 -1.42857143e-01  0.00000000e+00
  1.66666667e-01 -1.42857143e-01 -1.66666667e-01 -6.00000000e-01
  0.00000000e+00  0.00000000e+00  5.00000000e-01  0.00000000e+00
  3.00000000e+00  0.00000000e+00  8.33333333e-02  1.53846154e-01
  8.66666667e-01 -2.85714286e-01  7.50000000e-01 -5.71428571e-02
  6.06060606e-02  7.42857143e-01  3.11475410e-01  2.62500000e-01
  6.63366337e-01  4.64285714e-01  1.61788618e+00  3.86645963e-01
  2.34042553e-01  3.06715064e-01  3.28472222e-01  9.64976477e-01
  3.00345837e-01  4.49877250e-01  5.13334274e-01  4.72074592e-01
  1.47010388e+00  2.31652905e-01  2.53789141e-01  2.15120720e-01
  1.60036624e-01  4.18928470e-01  1.16836862e-01  9.14044438e-02
  8.66304770e-02  9.39462699e-02  1.75194527e-01  2.84297569e-02
  2.31827168e-02  2.30837306e-02  3.88519282e-01 -2.11812441e-01
 -1.25800738e-03 -8.57682682e-04 -1.32287749e-02 -1.55401742e-01
 -5.85650809e-03 -6.01613646e-03  1.08915677e-02  2.60613578e-02
  1.55979203e-02 -4.11563943e-03 -1.09243980e-02 -1.65918521e-02
 -1.36740918e-02 -3.38411507e-02 -4.89873700e-03 -1.06523040e-02
 -9.89385540e-03 -3.35853206e-02 -8.11917654e-02 -8.41784080e-03
 -2.02910618e-02 -9.32409546e-03 -8.77154811e-03  1.06240201e-02
 -8.21004816e-03  1.20447250e-02 -7.59833319e-03 -1.51884224e-02
  9.99183952e-02 -1.28426332e-02 -3.25097150e-03 -6.92646259e-03
  2.47966427e-01 -2.80643503e-01  8.14959055e-03 -5.82703589e-03
  2.72192059e-02 -4.19598678e-02 -1.32011008e-02  1.92986474e-02
  1.04810304e-02 -2.10323922e-02  3.50188054e-02  3.92427695e-02
  1.74085322e-02  2.96491185e-02  3.16766762e-02  1.39579119e-01
  5.13098510e-02  5.43649271e-02  5.96595303e-02  6.30752851e-02
  1.30978919e-01]","[1.0, 0.0, 0.0, 0.0]",-0.8,75,50000,100000,1000,100,False
1,Graph with 50 nodes and 394 edges,1,"[34.05500030517578, 31.997499465942383, 34.04750061035156, 35.849998474121094, 34.95750045776367, 35.64500045776367, 36.307498931884766, 37.20750045776367, 37.61000061035156, 37.46749877929688, 37.209999084472656, 37.93000030517578, 39.23249816894531, 37.192501068115234, 37.3224983215332, 39.459999084472656, 40.03749847412109, 34.502498626708984, 32.900001525878906, 34.34749984741211, 35.9375, 36.182498931884766, 37.29499816894531, 37.48749923706055, 38.25, 36.85499954223633, 37.04249954223633, 36.61249923706055, 37.79249954223633, 38.220001220703125, 38.63249969482422, 39.334999084472656, 39.15999984741211, 39.63750076293945, 38.942501068115234, 39.79750061035156, 39.67250061035156, 39.275001525878906, 38.852500915527344, 38.56499862670898, 39.11249923706055, 39.19499969482422, 39.130001068115234, 38.01250076293945, 37.31499862670898, 37.65999984741211, 40.28499984741211, 40.630001068115234, 42.15499877929688, 41.38999938964844, 42.45249938964844, 42.23749923706055, 43.9275016784668, 43.59999847412109, 45.98500061035156, 44.375, 43.44499969482422, 44.21749877929688, 44.125, 44.3125, 44.88999938964844, 45.56999969482422, 45.75, 47.15499877929688, 47.06499862670898, 47.73749923706055, 47.9474983215332, 47.31499862670898, 48.025001525878906, 47.8849983215332, 47.50249862670898, 46.17499923706055, 47.0525016784668, 46.8224983215332, 46.57500076293945, 47.11750030517578, 47.66749954223633, 47.79249954223633, 46.727500915527344, 44.522499084472656, 44.83250045776367, 45.25, 45.11750030517578, 45.79750061035156, 45.75249862670898, 44.962501525878906, 43.27750015258789, 43.47999954223633, 42.54750061035156, 42.20500183105469, 39.61249923706055, 40.5099983215332, 39.89500045776367, 40.04750061035156, 39.13249969482422, 37.9375, 38.76499938964844, 38.04999923706055, 36.83000183105469, 36.28749847412109, 35.83250045776367, 35.084999084472656, 34.77750015258789, 33.8650016784668, 33.44499969482422, 35.75, 35.31999969482422, 35.94499969482422, 36.375, 37.10749816894531, 37.6875, 36.54999923706055, 37.06499862670898, 36.15999984741211, 36.25749969482422, 38.220001220703125, 38.27999877929688, 38.525001525878906, 37.93999862670898, 38.165000915527344, 37.869998931884766, 39.81499862670898, 40.807498931884766, 41.057498931884766, 41.54249954223633, 40.557498931884766, 40.6875, 40.057498931884766, 39.3025016784668, 39.32749938964844, 40.01499938964844, 41.56999969482422, 41.90250015258789, 41.817501068115234, 41.77000045776367, 42.4275016784668, 42.54499816894531, 42.11000061035156, 42.83000183105469, 43.915000915527344, 44.665000915527344, 43.345001220703125, 43.76750183105469, 43.70500183105469, 43.86249923706055, 42.18000030517578, 41.22999954223633, 40.29750061035156, 37.6974983215332, 38.087501525878906, 38.47249984741211, 39.56499862670898, 38.54499816894531, 37.86249923706055, 39.01250076293945, 37.51750183105469, 37.192501068115234, 39.88999938964844, 42.69499969482422, 41.96749877929688, 42.807498931884766, 42.869998931884766, 40.61000061035156, 41.36249923706055, 40.45000076293945, 40.30500030517578, 41.75, 41.87749862670898, 41.04249954223633, 42.18999862670898, 44.935001373291016, 44.66249847412109, 45.125, 45.79499816894531, 46.08250045776367, 46.067501068115234, 45.48500061035156, 45.0525016784668, 45.26750183105469, 44.994998931884766, 44.23500061035156, 43.17250061035156, 43.709999084472656, 43.13249969482422, 44.557498931884766, 44.334999084472656, 42.93999862670898, 43.51750183105469, 43.5, 43.2599983215332, 45.32749938964844, 45.49250030517578, 46.08250045776367, 44.307498931884766, 45.1775016784668, 45.75749969482422, 46.497501373291016, 46.63249969482422, 49.09249877929688, 48.5525016784668, 48.5724983215332, 47.622501373291016, 49.00249862670898, 48.90250015258789, 48.772499084472656, 49.21500015258789, 51.1349983215332, 51.6974983215332, 50.72999954223633, 50.75, 50.255001068115234, 50.647499084472656, 52.625, 52.40250015258789, 51.907501220703125, 52.084999084472656, 51.94499969482422, 52.04499816894531, 52.40250015258789, 52.14250183105469, 52.4474983215332, 51.04750061035156, 53.06999969482422, 51.997501373291016, 52.79499816894531, 52.54499816894531, 52.72249984741211, 55.3025016784668, 54.25, 54.560001373291016, 54.185001373291016, 52.3125, 51.915000915527344, 52.35499954223633, 52.185001373291016, 53.04249954223633, 53.04249954223633, 53.494998931884766, 54.334999084472656, 56.01750183105469, 55.997501373291016, 56.28749847412109, 57.0724983215332, 57.37749862670898, 58.8650016784668, 59.84249877929688, 59.70500183105469, 59.65499877929688, 59.79750061035156, 59.21749877929688, 58.08000183105469, 58.82500076293945, 59.977500915527344, 59.01750183105469, 59.26499938964844, 59.98249816894531, 60.095001220703125, 60.755001068115234, 61.08000183105469, 62.994998931884766, 61.81999969482422, 61.39250183105469, 62.23249816894531, 62.31999969482422, 61.98500061035156, 62.52750015258789, 63.21500015258789, 63.21500015258789, 55.82967904498369, 56.33016320381021, 58.87485598963679, 60.57929409571458, 54.53777183621717, 56.626299293484344, 57.73013423626858, 53.785270719044206, 45.62795791767223, 51.44714548236792, 57.3154388418687, 63.74015187800942, 62.2615771508663, 67.63529176635889, 66.18471785710514, 66.18471785710514, 64.65903265967147, 64.64292689190466, 66.65524650974551, 61.739200476642296, 58.858796085332116, 61.24547664294523, 59.031974195402576, 59.031974195402576, 64.57501049356686, 58.89230777230972, 58.909733260626346, 57.93090324112868, 60.07042251362416, 60.07042251362416, 56.24858764334027, 53.93424681963599, 51.48346136040978, 48.952895733373175, 48.952895733373175, 46.8380346933117, 47.737577942731185, 44.726852954758314, 45.08685547869751, 37.52696737879808, 34.9575595743033, 33.79439488668599, 37.448146045653786, 36.33159130508141, 39.573975270623166, 38.70903875659628, 36.36765197111951, 34.23933194941036, 33.91086949788605, 33.398527599233184, 34.28284763036986, 34.51366774837896, 36.895532517074905, 38.043322515540915, 33.402230594215496, 31.376917302487087, 35.75586646249262, 31.657505045207532, 26.530165679495852, 35.00448983509481, 38.26775472830982, 32.92992169957946, 35.67407618380308, 35.959433310682904, 44.747868767083, 40.39682986131093, 45.254104709202515, 52.692098180827614, 55.42567779356236, 60.71221787645242, 60.51841399716201, 62.53949603078607, 62.47716094616154, 63.94394977900885, 70.50812755420017, 62.8448524464371, 63.78843708137228, 63.78843708137228, 61.54195120642763, 59.20465273204234, 60.829227387002774, 58.850907878846726, 60.2333178720137, 58.09100556212699, 58.310769967848096, 58.310769967848096, 51.700065169142, 52.88627798826215, 49.678696687148026, 51.964038764964705, 55.20222718383551, 56.126974630241904, 52.11506031523086, 49.66763018470698, 52.09350181894118, 52.66620812452623, 53.77152863054253, 50.39011712272358, 45.847454272195485, 42.11457188046937, 42.11457188046937, 41.362407887794284, 41.89371993254488, 43.46513006411492, 26.4661559883172, 23.282029501657878, 31.274299312201276, 31.415768770019064]",0.09,"[34.05500030517578, 31.997499465942383, 34.04750061035156, 35.849998474121094, 34.95750045776367, 35.64500045776367, 36.307498931884766, 37.20750045776367, 37.61000061035156, 37.46749877929688, 37.209999084472656, 37.93000030517578, 39.23249816894531, 37.192501068115234, 37.3224983215332, 39.459999084472656, 40.03749847412109, 34.502498626708984, 32.900001525878906, 34.34749984741211, 35.9375, 36.182498931884766, 37.29499816894531, 37.48749923706055, 38.25, 36.85499954223633, 37.04249954223633, 36.61249923706055, 37.79249954223633, 38.220001220703125, 38.63249969482422, 39.334999084472656, 39.15999984741211, 39.63750076293945, 38.942501068115234, 39.79750061035156, 39.67250061035156, 39.275001525878906, 38.852500915527344, 38.56499862670898, 39.11249923706055, 39.19499969482422, 39.130001068115234, 38.01250076293945, 37.31499862670898, 37.65999984741211, 40.28499984741211, 40.630001068115234, 42.15499877929688, 41.38999938964844, 42.45249938964844, 42.23749923706055, 43.9275016784668, 43.59999847412109, 45.98500061035156, 44.375, 43.44499969482422, 44.21749877929688, 44.125, 44.3125, 44.88999938964844, 45.56999969482422, 45.75, 47.15499877929688, 47.06499862670898, 47.73749923706055, 47.9474983215332, 47.31499862670898, 48.025001525878906, 47.8849983215332, 47.50249862670898, 46.17499923706055, 47.0525016784668, 46.8224983215332, 46.57500076293945, 47.11750030517578, 47.66749954223633, 47.79249954223633, 46.727500915527344, 44.522499084472656, 44.83250045776367, 45.25, 45.11750030517578, 45.79750061035156, 45.75249862670898, 44.962501525878906, 43.27750015258789, 43.47999954223633, 42.54750061035156, 42.20500183105469, 39.61249923706055, 40.5099983215332, 39.89500045776367, 40.04750061035156, 39.13249969482422, 37.9375, 38.76499938964844, 38.04999923706055, 36.83000183105469, 36.28749847412109, 35.83250045776367, 35.084999084472656, 34.77750015258789, 33.8650016784668, 33.44499969482422, 35.75, 35.31999969482422, 35.94499969482422, 36.375, 37.10749816894531, 37.6875, 36.54999923706055, 37.06499862670898, 36.15999984741211, 36.25749969482422, 38.220001220703125, 38.27999877929688, 38.525001525878906, 37.93999862670898, 38.165000915527344, 37.869998931884766, 39.81499862670898, 40.807498931884766, 41.057498931884766, 41.54249954223633, 40.557498931884766, 40.6875, 40.057498931884766, 39.3025016784668, 39.32749938964844, 40.01499938964844, 41.56999969482422, 41.90250015258789, 41.817501068115234, 41.77000045776367, 42.4275016784668, 42.54499816894531, 42.11000061035156, 42.83000183105469, 43.915000915527344, 44.665000915527344, 43.345001220703125, 43.76750183105469, 43.70500183105469, 43.86249923706055, 42.18000030517578, 41.22999954223633, 40.29750061035156, 37.6974983215332, 38.087501525878906, 38.47249984741211, 39.56499862670898, 38.54499816894531, 37.86249923706055, 39.01250076293945, 37.51750183105469, 37.192501068115234, 39.88999938964844, 42.69499969482422, 41.96749877929688, 42.807498931884766, 42.869998931884766, 40.61000061035156, 41.36249923706055, 40.45000076293945, 40.30500030517578, 41.75, 41.87749862670898, 41.04249954223633, 42.18999862670898, 44.935001373291016, 44.66249847412109, 45.125, 45.79499816894531, 46.08250045776367, 46.067501068115234, 45.48500061035156, 45.0525016784668, 45.26750183105469, 44.994998931884766, 44.23500061035156, 43.17250061035156, 43.709999084472656, 43.13249969482422, 44.557498931884766, 44.334999084472656, 42.93999862670898, 43.51750183105469, 43.5, 43.2599983215332, 45.32749938964844, 45.49250030517578, 46.08250045776367, 44.307498931884766, 45.1775016784668, 45.75749969482422, 46.497501373291016, 46.63249969482422, 49.09249877929688, 48.5525016784668, 48.5724983215332, 47.622501373291016, 49.00249862670898, 48.90250015258789, 48.772499084472656, 49.21500015258789, 51.1349983215332, 51.6974983215332, 50.72999954223633, 50.75, 50.255001068115234, 50.647499084472656, 52.625, 52.40250015258789, 51.907501220703125, 52.084999084472656, 51.94499969482422, 52.04499816894531, 52.40250015258789, 52.14250183105469, 52.4474983215332, 51.04750061035156, 53.06999969482422, 51.997501373291016, 52.79499816894531, 52.54499816894531, 52.72249984741211, 55.3025016784668, 54.25, 54.560001373291016, 54.185001373291016, 52.3125, 51.915000915527344, 52.35499954223633, 52.185001373291016, 53.04249954223633, 53.04249954223633, 53.494998931884766, 54.334999084472656, 56.01750183105469, 55.997501373291016, 56.28749847412109, 57.0724983215332, 57.37749862670898, 58.8650016784668, 59.84249877929688, 59.70500183105469, 59.65499877929688, 59.79750061035156, 59.21749877929688, 58.08000183105469, 58.82500076293945, 59.977500915527344, 59.01750183105469, 59.26499938964844, 59.98249816894531, 60.095001220703125, 60.755001068115234, 61.08000183105469, 62.994998931884766, 61.81999969482422, 61.39250183105469, 62.23249816894531, 62.31999969482422, 61.98500061035156, 62.52750015258789, 63.21500015258789]",,"[ 0.00000000e+00  1.00000000e-01  0.00000000e+00  0.00000000e+00
  2.00000000e-01  1.66666667e-01 -1.42857143e-01  0.00000000e+00
  1.66666667e-01 -1.42857143e-01 -1.66666667e-01 -6.00000000e-01
  0.00000000e+00  0.00000000e+00  5.00000000e-01  0.00000000e+00
  3.00000000e+00  0.00000000e+00  8.33333333e-02  1.53846154e-01
  8.66666667e-01 -2.85714286e-01  7.50000000e-01 -5.71428571e-02
  6.06060606e-02  7.42857143e-01  3.11475410e-01  2.62500000e-01
  6.63366337e-01  4.64285714e-01  1.61788618e+00  3.86645963e-01
  2.34042553e-01  3.06715064e-01  3.28472222e-01  9.64976477e-01
  3.00345837e-01  4.49877250e-01  5.13334274e-01  4.72074592e-01
  1.47010388e+00  2.31652905e-01  2.53789141e-01  2.15120720e-01
  1.60036624e-01  4.18928470e-01  1.16836862e-01  9.14044438e-02
  8.66304770e-02  9.39462699e-02  1.75194527e-01  2.84297569e-02
  2.31827168e-02  2.30837306e-02  3.88519282e-01 -2.11812441e-01
 -1.25800738e-03 -8.57682682e-04 -1.32287749e-02 -1.55401742e-01
 -5.85650809e-03 -6.01613646e-03  1.08915677e-02  2.60613578e-02
  1.55979203e-02 -4.11563943e-03 -1.09243980e-02 -1.65918521e-02
 -1.36740918e-02 -3.38411507e-02 -4.89873700e-03 -1.06523040e-02
 -9.89385540e-03 -3.35853206e-02 -8.11917654e-02 -8.41784080e-03
 -2.02910618e-02 -9.32409546e-03 -8.77154811e-03  1.06240201e-02
 -8.21004816e-03  1.20447250e-02 -7.59833319e-03 -1.51884224e-02
  9.99183952e-02 -1.28426332e-02 -3.25097150e-03 -6.92646259e-03
  2.47966427e-01 -2.80643503e-01  8.14959055e-03 -5.82703589e-03
  2.72192059e-02 -4.19598678e-02 -1.32011008e-02  1.92986474e-02
  1.04810304e-02 -2.10323922e-02  3.50188054e-02  3.92427695e-02
  1.74085322e-02  2.96491185e-02  3.16766762e-02  1.39579119e-01
  5.13098510e-02  5.43649271e-02  5.96595303e-02  6.30752851e-02
  1.30978919e-01]","[1.0, 0.0, 0.0, 0.0]",-0.8,75,50000,100000,1000,100,False
